company,model,year,condition,mileage(km),fuel,volume(cm3),color,transmission,drive_unit,vehicle_size_class,priceUSD
nissan,pulsar,2015,with mileage,134000.0,diesel,1500.0,silver,mechanics,front-wheel drive,,11000
audi,100,1984,with mileage,156300.0,petrol,1800.0,white,mechanics,front-wheel drive,E,600
mercedes-benz,s-klass,1995,with mileage,300000.0,petrol,2800.0,black,mechanics,rear drive,S,6050
peugeot,307,2004,with mileage,325300.0,petrol,1600.0,other,auto,front-wheel drive,C,3350
mercedes-benz,gla,2014,with mileage,74000.0,petrol,1595.0,brown,auto,front-wheel drive,J,19999
kia,clarus,1998,with mileage,320000.0,petrol,2000.0,green,mechanics,front-wheel drive,D,800
bmw,x6,2010,with mileage,102500.0,petrol,4395.0,other,auto,all-wheel drive,J,21700
lada-vaz,2105,1999,with mileage,123456.0,petrol,1500.0,blue,mechanics,rear drive,B,550
ford,mondeo,1996,with mileage,350000.0,petrol,1800.0,blue,mechanics,front-wheel drive,D,1000
volvo,xc60,2016,with mileage,100000.0,diesel,2400.0,other,auto,all-wheel drive,J,31500
mercedes-benz,e-klass,1985,with mileage,315000.0,petrol,2300.0,other,auto,rear drive,E,1350
ford,explorer,2017,with mileage,28000.0,petrol,3500.0,white,auto,all-wheel drive,J,29900
daewoo,nubira,1998,with mileage,348000.0,petrol,20000.0,green,mechanics,front-wheel drive,C,2000
renault,19,1993,with mileage,217000.0,petrol,1700.0,gray,mechanics,front-wheel drive,C,500
mercedes-benz,s-klass,2001,with mileage,307000.0,petrol,5000.0,black,auto,rear drive,S,5900
honda,civic,2008,with mileage,225000.0,petrol,1800.0,white,auto,front-wheel drive,C,7200
